Average annual electricity consumption of normal profiles by country 
kWh 
Calculated from Eurostat 
country,Value
Bulgaria,3950.6011856528894
Croatia,3838.6057231793216
Czechia,3567.6335950588323
Hungary,3139.4984885981376
Poland,2120.534040684328
Romania,1870.7646603237924
Slovakia,3166.2142971828853
Slovenia,4256.349300693268
