Number of households by country in 2022,
-,
Eurostat,
country,Value
Bulgaria,2943000
Croatia,1488800
Czechia,4771600
Hungary,4083000
Poland,14349200
Romania,7542100
Slovakia,1852100
Slovenia,846900
